X1,X2,Y
1.18,1.71,1
2.32,-0.131,1
-1.27,1.48,1
-2.39,-0.303,-1
-0.354,-0.146,-1
-2.22,-1.96,-1
0.229,-1.02,1
-1.64,-1.54,-1
-0.637,-2.1,-1
-2.7,0.365,1
2.29,-1.13,1
2.14,-0.457,1
-2.01,-2.51,-1
-2.73,-2.4,-1
-1.26,0.232,-1
0.205,-0.0378,-1
1.41,-1.91,1
-0.212,0.111,1
0.204,2.57,1
-2.75,-0.885,-1
-2.44,-1.52,-1
1.2,0.0717,1
-0.706,2.48,1
1.7,-0.488,1
1.4,0.928,1
-2.01,-0.928,-1
0.791,2.55,1
-0.872,-1.2,-1
1.34,0.38,1
-0.636,-1.35,-1
-1.25,2.48,1
-1.94,-2.45,-1
-2.16,-1.09,-1
-0.0486,0.603,1
-1.05,-1.12,-1
2.53,-1.54,1
-0.0892,0.948,1
0.393,-0.261,1
-0.791,-1.61,-1
-1.06,-0.997,-1
-0.606,-2.47,-1
-1.8,-0.0628,-1
-0.21,2.51,1
-1.02,1.48,1
-0.308,0.183,-1
-1.13,0.35,1
1.83,1.99,1
-1.38,-1.33,-1
-0.97,-1.42,-1
-1.94,-0.631,-1
-0.0225,-1.17,1
-2.48,1.03,1
-2.59,-0.964,-1
2.37,1.23,1
-1.41,0.496,1
0.379,1.49,1
2.31,-1.68,1
2.69,-1.8,1
0.796,-2.09,1
0.808,0.821,1
2.7,0.997,1
-0.969,-2.1,-1
-1.05,-1.48,-1
0.151,0.962,1
1.54,-2.55,1
2.02,-1.37,1
-0.218,-1.99,1
-0.0591,0.105,-1
1.17,-0.221,1
-2.32,-1.17,-1
-0.2,-0.486,-1
0.0796,-0.366,-1
-1.15,-1.13,-1
-1.07,0.738,1
-1.47,-2.73,-1
-1.9,-0.833,-1
-1.47,-0.891,-1
-1.02,1.98,1
-0.83,-1.63,-1
0.11,-0.273,1
-2.6,-2.68,-1
-0.506,-0.604,-1
2.16,-0.86,1
-0.565,0.528,1
-0.111,-1.78,1
-1.26,-0.0899,-1
-1.13,-1.91,-1
1.34,-2.56,1
-2.72,-1.15,-1
-0.841,-0.021,-1
0.991,-2.02,1
-1.41,-1.18,-1
-0.55,-0.156,-1
0.0169,-2.29,-1
-1.77,0.0633,1
-1.51,-0.0944,-1
0.993,1.9,1
-2.36,-2.2,-1
-0.447,-0.789,-1
-2.63,-0.654,-1
-0.213,-1.98,-1
-0.599,-0.737,-1
1.44,1.08,1
1.86,1.38,1
0.929,0.484,1
0.0918,1.56,1
0.13,-2.34,-1
-0.0867,1.53,1
-2.09,1.96,1
-2.12,-1.7,-1
-2.49,-1.57,-1
1.89,-1.82,1
2.66,-0.737,1
-0.0344,-2.17,-1
0.27,-1.19,1
0.164,-1.73,1
-0.332,-1.63,-1
-1.07,1.73,1
-2.3,1.87,1
